PRODUCT,LEGACY PRODUCT,DESCRIPTION,UPC,QTY ORD,QTY,PRICE,UNIT ALLOW,NET PRICE,EXT US($)
K3119403,CSWSF10.3,CAN'T STOP WONT STOP 24HR,800897181166,288,288,9.00,3.00,6.00,"1,728.00"
K2916003,CSWSF11,CAN'T STOP WONT STOP 24HR F-BEIGE,800897157289,30,30,9.00,3.00,6.00,180.00
K2916103,CSWSF12.5,CAN'T STOP WONT STOP 24HR F-CAME,800897157296,30,30,9.00,3.00,6.00,180.00
K2916203,CSWSF13,CAN'T STOP WONT STOP 24HR F-GOLDEN,800897157302,60,60,9.00,3.00,6.00,360.00
K2916403,CSWSF15,CAN'T STOP WONT STOP 24HR F-CARAMEL,800897157326,30,30,9.00,3.00,6.00,180.00
K2916703,CSWSF17,CAN'T STOP WONT STOP 24HR F-CAPPUCCINO,800897157357,30,30,9.00,3.00,6.00,180.00
K3119303,CSWSF10.3,CAN'T STOP WONT STOP 24HR FDTN-NT WN VN,800897181154,60,60,9.00,3.00,6.00,360.00
K3118703,CSWSFX12,CAN'T STOP WONT STOP 24HR FDTN-CL TN,800897181093,360,360,9.00,3.00,6.00,"2,160.00"
K3119603,CSWSFX12.7,CAN'T STOP WONT STOP 24HR FDTN-NT,800897181188,288,288,9.00,3.00,6.00,"1,728.00"
K3119703,CSWSFX15.3,CAN'T STOP WONT STOP 24HR FDTN-ALMOND,800897181192,144,144,9.00,3.00,6.00,864.00
K3119803,CSWSFX15.7,CAN'T STOP WONT STOP 24HR FDTN-MR GW,800897181206,60,60,9.00,3.00,6.00,360.00
K3119903,CSWSFX15.8,CAN'T STOP WONT STOP 24HR FDTN-HONEY,800897181214,144,144,9.00,3.00,6.00,864.00
K1163202,CSWMS05,CSWS MATTIFYING PWDR GOLDEN,800897004246,360,360,5.70,1.90,3.80,"1,368.00"
K1164502,CSWMS07,CSWS MATTIFYING PWDR TAN,800897004253,360,360,5.70,1.90,3.80,"1,368.00"
K1164602,CSWMS07,CSWS MATTIFYING PWDR CARAMEL,800897004268,288,288,5.70,1.90,3.80,"1,094.40"
K3456502,CSWSP01,CAN'T STOP WONT STOP SETNG PWDR-LIGHT,800897183691,72,72,7.20,2.40,4.80,345.60
K3456602,CSWSP02,CAN'T STOP WONT STOP STP STNG PWDR-LT-MED,800897183707,144,144,7.20,2.40,4.80,691.20
K3456701,CSSWSP03,CANT STOP WONT STP STNG PWDR-MEDIUM,800897183714,144,4,0.00,0.00,0.00,0.00
K4159204,EBML01,EPIC BLACK MOUSSE LNR,800897832162,216,2,0.00,0.00,0.00,0.00
